Company,Symbol,companyLow,charLength,companyFinal
Modern Media Acquisition Corp,MMDMU,modern media acquisition corp,4,modern media acquisition
Modern Media Acquisition Corp.,MMDM,modern media acquisition corp.,4,modern media acquisition
ModusLink Global Solutions ,MLNK,moduslink global solutions ,3,moduslink global solutions
Moleculin Biotech ,MBRX,moleculin biotech ,2,moleculin biotech
Molex LLC (Inactive),MOLX,molex llc (inactive),3,molex llc (inactive)
Molex LLC (Inactive),MOLXA,molex llc (inactive),3,molex llc (inactive)
Momenta Pharmaceuticals ,MNTA,momenta pharmaceuticals ,2,momenta pharmaceuticals
Momo  (ADR),MOMO,momo  (adr),2,momo (adr)
Monarch Casino & Resort ,MCRI,monarch casino & resort ,4,monarch casino &
Monarch Financial Holdings ,MNRK,monarch financial holdings ,3,monarch financial holdings
Mondelez International ,MDLZ,mondelez international ,2,mondelez international
Moneygram International ,MGI,moneygram international ,2,moneygram international
Monolithic Power Systems ,MPWR,monolithic power systems ,3,monolithic power systems
Monotype Imaging Holdings ,TYPE,monotype imaging holdings ,3,monotype imaging holdings
Monro Muffler Brake ,MNRO,monro muffler brake ,3,monro muffler brake
Monroe Capital Corp,MRCC,monroe capital corp,3,monroe capital corp
Monster Beverage Corporation,MNST,monster beverage corporation,3,monster beverage corporation
Monster Digital ,MSDI,monster digital ,2,monster digital
Montage Technology Group ,MONT,montage technology group ,3,montage technology group
Morgans Hotel Group Co.,MHGC,morgans hotel group co.,4,morgans hotel group
Morningstar ,MORN,morningstar ,1,morningstar
Mota Group ,MOTA,mota group ,2,mota group
Motif Bio   ADR,MTFB,motif bio   adr,3,motif bio
Motorcar Parts of America ,MPAA,motorcar parts of america ,4,motorcar parts of
Mountain Prove Diamonds ,MPVD,mountain prove diamonds ,3,mountain prove diamonds
Move  (Inactive),MOVE,move  (inactive),2,move (inactive)
Moxian ,MOXC,moxian ,1,moxian
MultiColor Corporation,LABL,multicolor corporation,2,multicolor corporation
MultiFineline Electronix ,MFLX,multifineline electronix ,2,multifineline electronix
MultiVir ,MVIR,multivir ,1,multivir
Multiband Corp,MBND,multiband corp,2,multiband corp
Multimedia Games Holding Company ,MGAM,multimedia games holding company ,4,multimedia games holding
MutualFirst Financial ,MFSF,mutualfirst financial ,2,mutualfirst financial
Myfonts  (Inactive),BITS,myfonts  (inactive),2,myfonts (inactive)
Mylan N.V.,MYL,mylan n.v.,2,mylan n.v.
Myokardia ,MYOK,myokardia ,1,myokardia
Myriad Genetics ,MYGN,myriad genetics ,2,myriad genetics
NASDAQ:IFAS,IFAS,nasdaq:ifas,1,nasdaq:ifas
NASDAQ:SWTX,SWTX,nasdaq:swtx,1,nasdaq:swtx
